Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,console
A Juggler's Tale,9/29/2021,Kaleidoscube,Mixtvision,2D Platformer,Rated E +10 For Everyone +10,7.3,9,Nintendo Switch
A Kingdom for Keflings,11/19/2008,NinjaBee,NinjaBee,Strategy,Rated E For Everyone,6.8,30,Xbox 360
A Knight's Quest,2019-10-10,Sky9,Curve Digital,Open-World Action,Rated T For Teen,4.9,17,Xbox One
A Little Golf Journey,10/14/2021,Okidokico,Playtonic Friends,Golf,Rated E For Everyone,7.8,,Nintendo Switch
A Little To The Left,2022-08-11,Max Inferno,Secret Mode,Puzzle,,6.5,11,PC
A Memoir Blue,3/24/2022,Cloisters,Annapurna Interactive,Adventure,Rated E For Everyone,5.7,12,iOS (iPhone)
A Musical Story,2022-03-03,Glee-Cheese Studio,Digerati Distribution,Rhythm,Rated M For Mature,,,Xbox One
A New Beginning,2012-11-12,Daedalic Entertainment,Daedalic Entertainment,Point-and-Click,,6.9,94,iOS (iPhone)
A Normal Lost Phone,2018-01-03,Plug In Digital,Plug In Digital,Simulation,Rated M For Mature,7.1,15,PC
A Pixel Story,3/30/2015,Lamplight Studios,Channel 4,2D Platformer,,5.8,6,PC
A Plague Tale: Innocence,5/14/2019,Asobo Studio,Focus Home Interactive,Linear Action Adventure,Rated M For Mature,8.4,1586,PlayStation 4
A Plague Tale: Requiem,10/18/2022,Asobo Studio,Focus Entertainment,Linear Action Adventure,Rated M For Mature,8.2,826,Xbox Series X
A Quiet Weekend in Capri,3/17/2004,Silvio & Gey Savarese,Got Game Entertainment,Third-Person Adventure,Rated E For Everyone,6.8,5,PC
A Robot Named Fight!,4/26/2018,Matt Bitner,Hitcents,Metroidvania,Rated T For Teen,7.6,31,PC
A Rose in the Twilight,2017-11-04,Nippon Ichi Software,NIS America,2D Platformer,Rated T For Teen,8.4,17,PlayStation Vita
A Short Hike,8/18/2020,adamgryu,Whippoorwill Limited,Adventure,Rated E For Everyone,8.6,253,PC
A Space For The Unbound,1/19/2023,Mojiken Studio,Chorus Worldwide,Adventure,Rated T For Teen,7.6,41,PC
A Space Shooter for 2 Bucks,12/21/2010,Frima Studio,Frima Studio,Vertical Shoot-'Em-Up,Rated T For Teen,7.4,10,iOS (iPhone)
A Story About My Uncle,7/30/2012,Gone North Games,Gone North Games,3D Platformer,,7,186,PC
A Total War Saga: Thrones of Britannia,2018-02-05,Creative Assembly,Sega Europe,Real-Time Strategy,,5.5,174,PC
A Total War Saga: TROY,8/13/2020,Creative Assembly,Sega,Real-Time Strategy,Rated T For Teen,6,282,PC
A Valley Without Wind,4/24/2012,"Arcen Games, LLC","Arcen Games, LLC",Action Adventure,Rated T For Teen,6.6,63,PC
A Vampyre Story,,Autumn Moon,Crimson Cow,Point-and-Click,Rated T For Teen,,,PC
A Virus Named TOM,2012-01-08,Misfits Attic,Misfits Attic,Action Puzzle,,6.2,62,PC
A Way Out,3/23/2018,Hazelight,Electronic Arts,Linear Action Adventure,Rated M For Mature,7.9,1118,PC
A Witch's Tale,10/13/2009,Hit Maker,NIS America,RPG,Rated E +10 For Everyone +10,7,8,DS
A World of Keflings,12/22/2010,NinjaBee,NinjaBee,Management,Rated E +10 For Everyone +10,6.9,36,Xbox 360
A.R.E.S. Extinction Agenda EX,2013-02-10,ORiGO GAMES,Aksys Games,2D Platformer,Rated E +10 For Everyone +10,7.2,18,Xbox 360
A.W.: Phoenix Festa,7/26/2016,Bandai Namco Games,Bandai Namco Games,Action RPG,Rated T For Teen,4.2,11,PlayStation Vita
AaaaaAAaaaAAAaaAAAAaAAAAA!!! (Force = Mass x Acceleration),2012-01-03,Dejobaan Games,Dejobaan Games,3D Platformer,,6.5,12,iOS (iPhone)
AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,2009-03-09,Dejobaan Games,Dejobaan Games,3D Platformer,,6,57,PC
Aaero,2017-11-04,Mad Fellows Ltd,Mad Fellows Ltd,Rail Shooter,Rated E +10 For Everyone +10,7.2,18,PlayStation 4
Aaero: Complete Edition,12/24/2018,Mad Fellows Ltd,Mad Fellows Ltd,Rail Shooter,Rated E +10 For Everyone +10,8,7,Nintendo Switch
Aarklash: Legacy,2013-12-09,Cyanide,Cyanide,Real-Time Tactics,,7.7,112,PC
Aaru's Awakening,2/23/2015,Lumenox ehf,Lumenox ehf,2D Platformer,Rated E For Everyone,2.8,116,PC
Abermore,3/29/2022,Four Circle Interactive,Fireshine Games,Action Adventure,,,,PC
Absolute Drift,2020-03-12,Funselektor Labs Inc.,Funselektor Labs Inc.,Auto Racing,Rated E For Everyone,5,6,PC
Absolver,8/29/2017,Sloclap,Devolver Digital,Action RPG,,6,104,PC
Abyss (2012),2014-01-05,EnjoyUp Games,EnjoyUp Games,2D Platformer,Rated E For Everyone,6.5,12,DS
Abyss Attack,2013-08-08,Deep Byte Studios,Chillingo,Vertical Shoot-'Em-Up,,,,iOS (iPhone)
Abyss Odyssey,7/15/2014,ACE Team,Atlus,Linear Action Adventure,Rated T For Teen,7.4,81,PlayStation 3
Abyss Odyssey: Extended Dream Edition,7/28/2015,ACE Team,Atlus,Linear Action Adventure,Rated T For Teen,5.6,12,PlayStation 4
ABZU,2016-02-08,Giant Squid,505 Games,Third-Person Adventure,Rated E For Everyone,7.7,579,PlayStation 4
AC/DC Live: Rock Band Track Pack,2008-02-11,Harmonix Music Systems,MTV Games,Rhythm,Rated T For Teen,5,9,PlayStation 3
Academy of Champions: Soccer,2009-03-11,Ubisoft Vancouver,Ubisoft,Soccer,Rated E For Everyone,,,Wii
Accel World vs. Sword Art Online: Millennium Twilight,2017-07-07,Artdink,Bandai Namco Games,Action RPG,Rated T For Teen,6,21,PC
Acceleration of SUGURI X-Edition,2/15/2011,Rockin' Android,Sony Online Entertainment,2D Fighting,Rated E +10 For Everyone +10,5.5,13,PlayStation 3
Ace Angler: Fishing Spirits,10/28/2022,Racjin,Bandai Namco Games,Fishing,Rated T For Teen,,,Nintendo Switch
Ace Attorney Investigations: Miles Edgeworth,2/16/2010,Capcom,Capcom,Visual Novel,Rated T For Teen,8,109,DS
Ace Banana,10/13/2016,TVR,Oasis Games,Action,Rated E +10 For Everyone +10,4.2,18,PlayStation 4
Ace Combat 04: Shattered Skies,2001-01-11,Project Aces,Namco,Aircraft Combat Sim,Rated E For Everyone,8.4,107,PlayStation 2
Ace Combat 2,7/31/1997,Namco,Namco,Aircraft Combat Sim,Rated T For Teen,8.7,57,PlayStation
