Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,console
inFamous: Festival of Blood,10/25/2011,Sucker Punch,SCEA,Open-World Action,Rated T For Teen,8.3,207,PlayStation 3
inFamous: First Light,8/26/2014,Sucker Punch,SCEA,Open-World Action,Rated T For Teen,7.4,937,PlayStation 4
inFamous: Second Son,3/21/2014,Sucker Punch,SCEA,Open-World Action,Rated T For Teen,8,4255,PlayStation 4
Infected (2005),11/15/2005,Planet Moon Studios,Majesco,Third Person Shooter,Rated M For Mature,6.6,10,PSP
Infernal,2007-08-05,Metropolis Software,Eidos Interactive,Third Person Shooter,Rated M For Mature,6.2,46,PC
Infernal: Hell's Vengeance,6/30/2009,Metropolis Software,Playlogic,Third Person Shooter,Rated M For Mature,4.2,5,Xbox 360
Infernax,2/14/2022,Berzerk Studio,The Arcade Crew,Metroidvania,Rated M For Mature,7.6,29,PC
Infernium,2018-05-04,Carlos Coronado,Carlos Coronado,Action Adventure,Rated T For Teen,6.8,9,PC
Inferno Pool,10/28/2009,Dark Energy Digital,Dark Energy Digital,Billiards,Rated E For Everyone,2.8,,Xbox 360
Inferno+,5/31/2012,Radiangames,Radiangames,RPG,,5.8,5,iOS (iPhone)
Infestation: Survivor Stories (The War Z),10/15/2012,Hammerpoint Interactive,Arktos Entertainment,MMORPG,Rated M For Mature,1.7,3958,PC
Infested Planet,2014-06-03,Rocket Bear Games,Rocket Bear Games,Real-Time Strategy,,7.7,51,PC
Infestor,1/17/2013,Ravenous Games,Ravenous Games,2D Platformer,,,,iOS (iPhone)
Infini,2020-03-07,Barnaque,Nakana.io,Adventure,Rated T For Teen,8.6,12,Nintendo Switch
Infinite Crisis,3/26/2015,Turbine Inc.,Warner Bros. Interactive Entertainment,MOBA,Rated T For Teen,6.6,32,PC
Infinite Minigolf,7/25/2017,Zen Studios,Zen Studios,Golf,Rated E For Everyone,7.1,12,PC
Infinite Space,3/16/2010,PlatinumGames,Sega,RPG,Rated T For Teen,7.5,38,DS
Infinite Undiscovery,2008-02-09,Tri-Ace,Square Enix,JRPG,Rated T For Teen,7.4,52,Xbox 360
Infinite Warrior,2012-06-09,Empty Flask Games LLC,Empty Flask Games LLC,RPG,,,,iOS (iPhone)
Infinity Blade,2010-09-12,Chair Entertainment,Epic Games,3D Fighting,,7.7,91,iOS (iPhone)
Infinity Blade II,11/29/2011,Chair Entertainment,Epic Games,3D Fighting,,7.5,116,iOS (iPhone)
Infinity Blade III,9/18/2013,Chair Entertainment,Epic Games,3D Fighting,,7.1,60,iOS (iPhone)
Infinity Field,1/27/2011,Chillingo,Chillingo,Action,,,,iOS (iPhone)
Infinity Runner,4/21/2015,Wales Interactive,Wales Interactive,3D Platformer,Rated T For Teen,5.6,14,PC
Infinity Strash: Dragon Quest The Adventure of Dai,9/28/2023,KAI GRAPHICS,Square Enix,JRPG,Rated T For Teen,5.4,24,PlayStation 5
Infliction: Extended Cut,2/25/2020,Caustic Reality,Blowfish Studios,Survival,Rated M For Mature,5.1,22,PlayStation 4
I-Ninja,11/18/2003,Argonaut Games,Namco,3D Platformer,Rated T For Teen,8.2,29,GameCube
Injustice 2,5/16/2017,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated T For Teen,8,885,PlayStation 4
Injustice 2: Legendary Edition,3/27/2018,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,,7.9,323,PlayStation 4
Injustice: Gods Among Us,4/16/2013,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated T For Teen,7.9,443,Xbox 360
Injustice: Gods Among Us - Ultimate Edition,2013-12-11,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated T For Teen,7.5,700,Xbox 360
Injustice: Gods Among Us (Mobile),2013-03-04,,,Card Battle,,7.2,53,iOS (iPhone)
Inked: A Tale of Love,8/27/2021,Somnium Games d.o.o.,Pixmain,Adventure,,5.8,22,iOS (iPhone)
Inkheart,2009-12-01,DreamCatcher Interactive,DreamCatcher Interactive,Adventure,Rated E For Everyone,,,DS
INKS.,2016-04-05,State of Play Games,State of Play Games,Pinball,,,,iOS (iPhone)
Inmates,2017-05-10,Davit Andreasyan,Iceberg Interactive,First-Person Adventure,,7.4,29,PC
inMomentum,10/31/2011,Digital Arrow,White Rabbit Interactive,Miscellaneous,,4.9,24,PC
Inner Chains,5/18/2017,Telepaths Tree,IMGN.PRO,FPS,,4.9,20,PC
InnerSpace,1/16/2018,PolyKnight Games,PolyKnight Games,Aircraft Sim,Rated E For Everyone,7,8,PC
Innocent Life: A Futuristic Harvest Moon,5/15/2007,ArtePiazza,Natsume,Tycoon,Rated E For Everyone,7.7,16,PSP
Inotia 3: Children of Carnia,2011-06-01,Com2uS,Com2uS,RPG,,5.8,5,iOS (iPhone)
Insanely Twisted Shadow Planet,2011-03-08,Shadow Planet Productions,Fuelcell Games,Metroidvania,Rated E For Everyone,7.9,45,PC
Inscryption,10/19/2021,Daniel Mullins Games,Devolver Digital,Card Battle,,8.6,418,PC
Insecticide: Episode 1,2008-11-03,Creat Studios,Gamecock Media Group,Action Adventure,Rated E +10 For Everyone +10,,,DS
INSIDE,6/29/2016,PLAYDEAD,PLAYDEAD,2D Platformer,Rated M For Mature,8.3,969,Xbox One
Inside My Radio,2015-11-05,Seaven Studio,Iceberg Interactive,2D Platformer,Rated E +10 For Everyone +10,7.4,8,PC
Inside Pitch 2003,5/20/2003,Microsoft Game Studios,Microsoft Game Studios,Baseball Sim,Rated E For Everyone,,,Xbox
Insidia,2017-07-09,Bad Seed,Bad Seed,Action,,,,PC
Insurgency,1/22/2014,New World Interactive,New World Interactive,Tactical FPS,,8.5,647,PC
Insurgency: Sandstorm,2018-12-12,New World Interactive,Focus Home Interactive,Tactical FPS,Rated M For Mature,8,250,PC
Insurmountable,4/29/2021,ByteRockers' Games,ByteRockers' Games,Survival,,6.4,14,PC
Intellivision Lives! (2010),11/20/2003,Realtime Associates,Crave,Compilation,Rated E For Everyone,,,PlayStation 2
Interpol: The Trail of Dr. Chaos,2009-07-01,TikGames,Microsoft Game Studios,Hidden Object,Rated E For Everyone,,,PlayStation 3
Interrogation: You will be deceived,2019-05-12,Critique Gaming,Mixtvision,Adventure,,7.6,14,PC
Into the Breach,2/27/2018,Subset Games,Subset Games,Turn-Based Tactics,Rated E +10 For Everyone +10,7.8,493,PC
Into the Dead,2012-06-12,PikPok,PikPok,FPS,,6.9,24,iOS (iPhone)
Into the Pit,10/19/2021,Nullpointer Games,Humble Games,FPS,,4.5,8,Xbox One
Into the Stars,2016-04-03,Fugitive Games,Iceberg Interactive,Action Adventure,,3.6,15,PC
Intruders: Hide and Seek,2/13/2019,Tessera Studios,Daedalic Entertainment,Action Adventure,Rated M For Mature,6.7,23,PlayStation 4
Inuyasha: Feudal Combat,8/24/2005,Eighting,Bandai,3D Fighting,Rated T For Teen,6.6,9,PlayStation 2
Inuyasha: Secret of the Divine Jewel,1/23/2007,Art,Namco Bandai Games,JRPG,Rated E +10 For Everyone +10,3.4,5,DS
Inuyasha: The Secret of the Cursed Mask,2004-02-11,Kamui,Bandai,JRPG,Rated T For Teen,6.8,5,PlayStation 2
Invector: Rhythm Galaxy,7/14/2023,Hello There Games,Warner Music Group,Rhythm,,,,PC
Inversion,2012-05-06,Saber Interactive,Namco Bandai Games,Third Person Shooter,Rated M For Mature,6.4,81,PC
Invincible Presents: Atom Eve,11/14/2023,Terrible Posture Games,Skybound Games,Visual Novel,,4.6,11,PC
Invincible Tiger: The Legend of Han Tao,8/26/2009,Blitz Arcade,Namco Bandai Games,2D Beat-'Em-Up,Rated T For Teen,,,PlayStation 3
"Invisible, Inc.",2015-12-05,Klei Entertainment,Klei Entertainment,Turn-Based Tactics,,7.9,197,PC
Invizimals,2010-12-10,Novarama,SCEA,Card Battle,Rated E +10 For Everyone +10,7.8,26,PSP
Invizimals: The Alliance,9/30/2014,Novarama,SCEA,Card Battle,Rated E +10 For Everyone +10,7.4,19,PlayStation Vita
Invizimals: The Lost Kingdom,9/30/2014,Magenta Software,SCEA,3D Platformer,Rated E +10 For Everyone +10,6,27,PlayStation 3
iO,2/14/2017,Gamious,Gamious,Action Puzzle,Rated E For Everyone,,,PC
Ion Assault,9/23/2009,Black Inc.,Microsoft Game Studios,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,,,PC
Ion Fury,8/15/2019,"Voidpoint, LLC",1C Entertainment,FPS,Rated M For Mature,7,298,PC
Ion Racer,3/16/2012,SGN,SGN,Auto Racing,,,,iOS (iPhone)
Iratus: Lord of the Dead,4/23/2020,Unfrozen,Daedalic Entertainment,Roguelike,,7.5,70,PC
Irem Collection Volume 1,11/21/2023,Irem,ININ Games,Compilation,,,,Nintendo Switch
Iridion 3D,5/29/2001,Shin'en,Majesco,Rail Shooter,Rated E For Everyone,6.4,5,Game Boy Advance
Iridion II,5/29/2003,Shin'en,Majesco,Vertical Shoot-'Em-Up,Rated E For Everyone,8.1,9,Game Boy Advance
Iridium Runners,2/20/2008,Playstos Entertainment,SouthPeak Games,Future Racing,Rated E For Everyone,,,PlayStation 2
Iris.Fall,2018-07-12,NExT Studios,NExT Studios,Adventure,,6.3,14,PC
Iro Hero,2018-07-06,Artax Games,EastAsiaSoft,Vertical Shoot-'Em-Up,Rated E For Everyone,,,Nintendo Switch
Iron Aces,2001-06-02,Marionette,Xicat Interactive,Aircraft Combat Sim,Rated E For Everyone,7.7,6,Dreamcast
Iron Brigade,6/22/2011,Double Fine Productions,Microsoft Game Studios,Defense,Rated T For Teen,8.4,91,Xbox 360
Iron Danger,3/25/2020,Action Squad Studios,Action Squad Studios,Turn-Based Tactics,,7.8,32,PC
Iron Front: Liberation 1944,5/25/2012,X1 Software,Deep Silver,Strategy,Rated T For Teen,6.6,96,PC
Iron Harvest,2020-01-09,KING Art,Deep Silver,Command RTS,,6.6,181,PlayStation 4
Iron Man (2008),2008-02-05,Secret Level,Sega,Action Adventure,Rated T For Teen,4.7,25,Xbox 360
Iron Man 2,2010-04-05,Sega Studios San Francisco,Sega,Action Adventure,Rated T For Teen,3.8,24,PlayStation 3
Iron Man 3 - The Official Game,4/25/2013,Gameloft,Gameloft,Action,,6.1,13,iOS (iPhone)
Iron Phoenix,3/25/2005,InterServ International,Sega,3D Fighting,Rated T For Teen,,,Xbox
Iron Sky: Invasion,12/13/2012,Reality Pump,TopWare Interactive,Action,,6,22,PC
Iron Storm,10/25/2002,4X Studios,DreamCatcher Interactive,FPS,Rated M For Mature,6.3,18,PC
Iron Warriors: T-72 Tank Command,5/24/2006,,,Vehicle Combat Sim,Rated M For Mature,6.5,8,PC
Ironcast,2017-10-08,Dreadbit,Ripstone,Matching Puzzle,Rated E +10 For Everyone +10,8,20,PC
Ironclad Tactics,9/18/2013,Zachtronics Industries,Zachtronics Industries,Strategy,Rated T For Teen,7.2,42,PC
IRONFALL Invasion,2/26/2015,VD-DEV,VD-DEV,Third Person Shooter,Rated T For Teen,5.8,67,3DS
Irony Curtain: From Matryoshka with Love,5/16/2019,Artifex Mundi,Artifex Mundi,Adventure,,8,31,PC
Island Time VR,2018-03-04,Flight School Studio,Flight School Studio,Survival,Rated E +10 For Everyone +10,5.3,6,PlayStation 4
ISLANDERS,2019-04-04,GrizzlyGames,GrizzlyGames,Strategy,,8.6,33,PC
ISLANDERS: Console Edition,2021-11-08,GrizzlyGames,GrizzlyGames,Strategy,Rated E For Everyone,6.9,7,Nintendo Switch
Islands of Wakfu,3/30/2011,Ankama Games,Microsoft Game Studios,Action Adventure,Rated E +10 For Everyone +10,7.3,12,Xbox 360
Islets,8/24/2022,Kyle Thompson,Armor Games,Metroidvania,Rated E +10 For Everyone +10,8.1,11,PC
Isonzo,9/13/2022,M2H &amp; BlackMill Games,M2H,Tactical FPS,Rated M For Mature,6.5,10,PlayStation 5
iStunt 2,2011-09-03,Miniclip.com,Miniclip.com,Skiing,,8.2,5,iOS (iPhone)
It Takes Two,3/26/2021,Hazelight,Electronic Arts,Linear Action Adventure,Rated T For Teen,9,1203,PC
ITORAH,3/21/2022,Grimbart Tales,Grimbart Tales,2D Platformer,,7.4,14,PC
It's Mr Pants,11/15/2004,Rare Ltd.,THQ,Puzzle,Rated E For Everyone,,,Game Boy Advance
It's Quiz Time,11/28/2017,Vision Games Publishing LTD,Vision Games Publishing LTD,Trivia,Rated E For Everyone,7.4,8,PlayStation 4
ITTA,4/22/2020,Glass Revolver,Armor Games,Top-Down Shoot-'Em-Up,Rated T For Teen,7.8,8,PC
Ittle Dew 2,11/14/2017,Ludosity Interactive,Nicalis,Action Adventure,Rated E +10 For Everyone +10,7.8,33,PC
Ivy the Kiwi?,8/24/2010,Prope,XSEED Games,2D Platformer,Rated E For Everyone,7.2,12,iOS (iPhone)
Ixion,2022-07-12,Bulwark Studios,Kasedo Games,Management,,7.1,34,PC
Izuna 2: The Unemployed Ninja Returns,7/22/2008,Ninja Studio,Atlus,Roguelike,Rated T For Teen,8,11,DS
Izuna: Legend of the Unemployed Ninja,2/20/2007,Ninja Studio,Atlus,Roguelike,Rated E +10 For Everyone +10,8.4,12,DS
J.U.L.I.A.: Among the Stars,2014-12-09,Cardboard Box Entertainment,Cardboard Box Entertainment,Point-and-Click,,7.7,26,PC
Jack Jeanne,6/15/2023,Broccoli,Aksys Games,Visual Novel,Rated T For Teen,7.7,46,Nintendo Switch
Jack Keane,4/15/2008,Legacy Interactive,Strategy First,Adventure,Rated T For Teen,6.4,20,PC
Jack Keane 2: The Fire Within,6/28/2013,Deck 13,Nordic Games Publishing,Adventure,Rated T For Teen,6.9,21,PC
Jack Lumber,8/16/2012,Owlchemy Labs,Sega,Arcade,,,,iOS (iPhone)
Jack Move,2022-08-09,So Romantic,HypeTrain Digital,JRPG,,7.7,12,PC
Jackass the Game,9/24/2007,Sidhe Interactive,Red Mile Entertainment,Party,Rated M For Mature,6.7,19,DS
Jackie Chan Adventures,2001-06-11,Torus Games,Activision,2D Beat-'Em-Up,Rated E For Everyone,,,Game Boy Advance
Jacob Jones and the Bigfoot Mystery: Episode One - A Bump in the Night,5/14/2013,Lucid Games,SCEA,Puzzle,Rated E +10 For Everyone +10,7.7,28,iOS (iPhone)
Jade Cocoon 2,12/17/2001,Genki,Ubisoft,JRPG,Rated T For Teen,6.9,16,PlayStation 2
Jade Empire,2005-12-04,BioWare,Microsoft Game Studios,Action RPG,Rated M For Mature,8.3,94,Xbox
Jagged Alliance 2: Unfinished Business,11/30/2000,Sir-Tech Software Inc.,Interplay,Turn-Based Tactics,Rated T For Teen,7.3,43,PC
Jagged Alliance 3,7/14/2023,Haemimont Games,THQ Nordic,Turn-Based Tactics,,8.1,135,PC
Jagged Alliance: Back in Action,2012-08-02,Kalypso,Kalypso,Strategy,Rated M For Mature,5.5,189,PC
Jagged Alliance: Crossfire,8/24/2012,Kalypso,Kalypso,Strategy,Rated T For Teen,4.5,40,PC
Jagged Alliance: Flashback,10/21/2014,Full Control,Full Control,Turn-Based Tactics,,4.2,77,PC
Jagged Alliance: Rage!,2018-06-12,HandyGames,HandyGames,Turn-Based Tactics,Rated M For Mature,3.1,26,PlayStation 4
Jak 3,2004-09-11,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.8,419,PlayStation 2
Jak and Daxter Collection,2012-07-02,Mass Media,SCEA,Compilation,Rated T For Teen,8.6,254,PlayStation Vita
Jak and Daxter: The Lost Frontier,2009-03-11,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,7.2,57,PSP
Jak and Daxter: The Precursor Legacy,2001-04-12,Naughty Dog,SCEA,3D Platformer,Rated E For Everyone,8.9,608,PlayStation 2
Jak II,10/14/2003,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.4,454,PlayStation 2
Jak X: Combat Racing,10/18/2005,Naughty Dog,SCEA,Vehicle Combat Sim,Rated T For Teen,8,121,PlayStation 2
Jake Hunter: Detective Chronicles,2008-11-06,WorkJam,Aksys Games,Adventure,Rated T For Teen,,,DS
Jam Sessions,2007-11-09,Plato,Ubisoft,Rhythm,Rated E +10 For Everyone +10,,,DS
Jam Sessions 2,10/20/2009,Plato,Ubisoft,Rhythm,Rated E +10 For Everyone +10,,,DS
Jambo! Safari: Animal Rescue,11/17/2009,Full Fat,Sega,Auto Racing,Rated E For Everyone,,,DS
James Bond 007: Agent Under Fire,11/13/2001,EA Redwood Shores,Electronic Arts,FPS,Rated T For Teen,7.5,47,GameCube
James Bond 007: Everything or Nothing,2/17/2004,EA Redwood Shores,EA Games,Action Adventure,Rated T For Teen,8.3,17,Game Boy Advance
James Cameron's Avatar (2010),12/14/2009,Gameloft,Gameloft,Action,,6.8,5,iOS (iPhone)
James Cameron's Avatar: The Game,2009-01-12,Ubisoft Montreal,Ubisoft,Linear Action Adventure,Rated T For Teen,6,53,Xbox 360
James Noir's Hollywood Crimes,2011-01-11,Ubisoft,Ubisoft,Puzzle,Rated T For Teen,6.6,7,iOS (iPhone)
James Patterson Women's Murder Club: Games of Passion,9/22/2009,THQ,THQ,Hidden Object,Rated T For Teen,,,DS
Jamestown: Legend of the Lost Colony,2011-08-06,"Final Form Games, LLC","Final Form Games, LLC",Vertical Shoot-'Em-Up,,7.4,137,PlayStation 4
Jane's Attack Squadron,3/22/2002,Mad Doc Software,Xicat Interactive,Aircraft Combat Sim,Rated E For Everyone,,,PC
Jarrett & Labonte Stock Car Racing,2000-03-10,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,7.7,7,PlayStation
JASF: Jane's Advanced Strike Fighters,11/15/2011,Trickstar Games,Maximum Family Games,Aircraft Combat Sim,Rated T For Teen,4.6,10,PC
Jaws Unleashed,5/23/2006,Appaloosa Interactive,Majesco,Action,Rated M For Mature,5.8,,Xbox
Jay and Silent Bob: Mall Brawl,5/20/2021,Spoony Bard Productions,Limited Run Games,2D Beat-'Em-Up,,,,Nintendo Switch
Jazz and Faust,6/13/2002,Saturn+,1C Entertainment,First-Person Adventure,Rated T For Teen,,,PC
Jazz Jackrabbit,2003-03-01,Game Titan,Jaleco Entertainment,2D Platformer,Rated E For Everyone,4.2,5,Game Boy Advance
JAZZ: Trump's journey,12/20/2011,Bulkypix,Bulkypix,2D Platformer,,,,iOS (iPhone)
Jazzpunk,2014-07-02,Necrophone,Adult Swim,First-Person Adventure,,7.7,165,PC
Jeanne d'Arc,8/21/2007,Level 5,SCEA,Turn-Based Tactics,Rated T For Teen,8.8,111,PSP
Jekyll & Hyde (2001),2001-09-10,In Utero,DreamCatcher Interactive,Action,Rated T For Teen,7.5,6,PC
Jelly Defense,9/29/2011,Infinite Dreams,Infinite Dreams,Defense,,6.6,7,iOS (iPhone)
JellyCar 3,2011-10-02,Disney Interactive Studios,Disney Interactive Studios,Auto Racing,,,,iOS (iPhone)
Jenga World Tour,2007-07-12,Atomic Planet Entertainment,Atari SA,Puzzle,Rated E For Everyone,,,DS
Jeremy McGrath Supercross 2000,2000-08-08,Acclaim Studios Salt Lake City,Acclaim,Arcade Racing,Rated E For Everyone,,,Dreamcast
Jeremy McGrath Supercross World,2/26/2002,Acclaim Studios Salt Lake City,Acclaim,Arcade Racing,Rated E For Everyone,,,PlayStation 2
Jeremy McGrath's Offroad,6/27/2012,2XL Games,D3Publisher,Auto Racing Sim,Rated E For Everyone,5.7,10,Xbox 360
Jet Car Stunts,2014-07-10,True Axis,Grip Games,Auto Racing,Rated E For Everyone,6.4,9,iOS (iPhone)
Jet Car Stunts 2,2014-02-01,True Axis,True Axis,Auto Racing,,,,iOS (iPhone)
Jet Force Gemini,1999-11-10,Rare Ltd.,Rare Ltd.,Third Person Shooter,Rated T For Teen,8.7,87,Nintendo 64
Jet Grind Radio,6/26/2003,Vicarious Visions,THQ,3D Platformer,Rated E For Everyone,7.2,6,Game Boy Advance
Jet Kave Adventure,9/17/2019,7Levels,7Levels,2D Platformer,Rated E +10 For Everyone +10,6.5,29,Nintendo Switch
Jet Lancer,2020-12-05,Vladimir Fedyushkin,Armor Games,Vertical Shoot-'Em-Up,Rated T For Teen,,,PC
Jet Set Radio (2000),9/19/2012,Blit,Sega,3D Platformer,Rated T For Teen,7.7,77,Dreamcast
Jet X2O,10/28/2002,Killer Game,SCEA,Arcade Racing,Rated E For Everyone,6,,PlayStation 2
JetFighter IV: Fortress America,2000-08-11,Mission Studios,TalonSoft,Aircraft Combat Sim,Rated E For Everyone,,,PC
Jetpac Refuelled,10/24/2006,Rare Ltd.,Microsoft Game Studios,2D Platformer,Rated E For Everyone,6.7,11,Xbox 360
Jetpack Joyride,2011-01-09,Halfbrick Studios,Halfbrick Studios,Arcade,,7.9,140,iOS (iPhone)
Jett Rocket,6/28/2010,Shin'en,Shin'en,3D Platformer,Rated E For Everyone,8.3,,Wii
Jett Rocket II: The Wrath of Taikai,11/13/2013,Shin'en,Shin'en,3D Platformer,Rated E +10 For Everyone +10,6.6,7,3DS
JETT: The Far Shore,2021-05-10,Superbrothers,Superbrothers,Open-World Action,Rated E For Everyone,5.3,24,PlayStation 5
Jewel Master: Egypt,2009-03-11,Cerasus Media,Storm City Games,Matching Puzzle,Rated E For Everyone,,,DS
Jewel Quest,2006-03-03,iWin,Microsoft Game Studios,Matching Puzzle,Rated E For Everyone,7.8,,Xbox 360
Jim Henson's Muppets Party Cruise,11/13/2003,Mass Media,TDK Mediactive,Party,Rated E For Everyone,7.8,,PlayStation 2
Jim Henson's The Muppets: On With The Show!,3/18/2003,Vicarious Visions,TDK Mediactive,Action,Rated E For Everyone,,,Game Boy Advance
Job Simulator,10/13/2016,Owlchemy Labs,Owlchemy Labs,Virtual Career,Rated E +10 For Everyone +10,7.7,69,PlayStation 4
Joe Danger,2010-08-06,Hello Games,Hello Games,Auto Racing,Rated E For Everyone,7.2,49,PlayStation 3
Joe Danger 2: The Movie,9/14/2012,Hello Games,Microsoft Game Studios,Arcade Racing,Rated E For Everyone,7.5,17,PlayStation 3
Joe Danger Infinity,2014-09-01,Hello Games,Hello Games,Action,,6.3,7,iOS (iPhone)
Joe Danger: Special Edition,12/14/2011,Hello Games,Microsoft Game Studios,Auto Racing,Rated E For Everyone,7.7,27,Xbox 360
Joe Dever's Lone Wolf,11/14/2013,Forge Reply,Forge Reply,Action,,6.7,9,iOS (iPhone)
Joe Dever's Lone Wolf HD Remastered,11/27/2014,Forge Reply,505 Games,Action,,6.8,25,PlayStation 4
Joggernauts,2018-11-10,Space Mace,Space Mace,2D Platformer,Rated E For Everyone,,,PC
John Daly's ProStroke Golf,2010-05-10,Gusto Games,O-Games,Golf Sim,Rated E For Everyone,4.3,10,PlayStation 3
John Deere: Harvest in the Heartland,11/20/2007,Black Lantern Studios,Destineer,Tycoon,Rated E For Everyone,,,DS
John Wick Hex,2019-08-10,Mike Bithell,Good Shepherd Entertainment,Turn-Based Tactics,Rated M For Mature,4.6,59,PC
Johnny Kung Fu,2012-12-07,UFO Interactive,UFO Interactive,Action,Rated E +10 For Everyone +10,4.9,9,3DS
Joint Operations: Escalation,11/19/2004,NovaLogic,NovaLogic,Tactical FPS,Rated T For Teen,5.7,7,PC
Joint Operations: Typhoon Rising,6/15/2004,NovaLogic,NovaLogic,Tactical FPS,Rated T For Teen,7.7,25,PC
Joint Task Force,2006-12-09,Most Wanted Entertainment,Sierra Entertainment,Real-Time Tactics,Rated T For Teen,8.9,22,PC
JoJo's Bizarre Adventure HD Ver.,8/21/2012,Capcom,Capcom,2D Fighting,Rated T For Teen,6,27,PlayStation 3
JoJo's Bizarre Adventure: All-Star Battle,4/29/2014,CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,7.9,98,PlayStation 3
JoJo's Bizarre Adventure: All-Star Battle R,2022-02-09,CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,7.7,37,PlayStation 5
JoJo's Bizarre Adventure: Eyes of Heaven,6/28/2016,CyberConnect2,Bandai Namco Games,3D Fighting,Rated T For Teen,7.8,180,PlayStation 4
Jolly Rover,2010-07-06,Brawsome,Brawsome,Point-and-Click,Rated E +10 For Everyone +10,7.4,28,PC
Jon Shafer's At the Gates,1/23/2019,Conifer Games,Conifer Games,4X Strategy,,5.5,15,PC
Jotun,9/29/2015,Thunder Lotus Games,Thunder Lotus Games,Action Adventure,Rated T For Teen,6.9,124,PC
Journey,3/13/2012,ThatGameCompany,SCEA,3D Platformer,Rated E For Everyone,8.8,1700,PlayStation 3
Journey of a Roach,2013-04-11,Koboldgames,Daedalic Entertainment,Point-and-Click,,6.9,49,PC
Journey of the Broken Circle,9/18/2020,Lovable Hat Cult,Nakana.io,Adventure,Rated E For Everyone,6.9,24,PC
Journey to Foundation,10/26/2023,Archiact Interactive Ltd.,Archiact Interactive Ltd.,Action Adventure,Rated T For Teen,,,PlayStation 5
Journey to the Center of the Earth (2003),10/27/2003,Micro Application,Viva Media,Third-Person Adventure,Rated E For Everyone,6.3,10,PC
Journey to the Savage Planet,1/28/2020,Typhoon Studios,505 Games,Open-World Action,Rated T For Teen,7,95,PC
Joust,11/22/2005,Digital Eclipse,Midway,2D Platformer,Rated E For Everyone,7,5,PlayStation 3
Joy Ride Turbo,5/23/2012,BigPark,Microsoft Game Studios,Auto Racing,Rated E For Everyone,7.9,29,Xbox 360
JSRF: Jet Set Radio Future,2/25/2002,Smilebit,Sega,3D Platformer,Rated T For Teen,8.9,107,Xbox
J-Stars Victory Vs+,6/30/2015,Spike Chunsoft,Bandai Namco Games,3D Fighting,Rated T For Teen,6.3,110,PlayStation 4
Judge Dredd: Countdown Sector 106,2012-01-08,Tin Man Games,Tin Man Games,Board,,,,iOS (iPhone)
Judge Dredd: Dredd VS Death,2/23/2005,Rebellion,Evolved Games,FPS,Rated M For Mature,7.6,5,PC
Judgment,6/21/2019,Ryu ga Gotoku Studios,Sega,Open-World Action,Rated M For Mature,8.5,563,PlayStation 4
Juiced,6/13/2005,Juice Games,THQ,Auto Racing Sim,Rated T For Teen,6.6,10,Xbox
Juiced 2: Hot Import Nights,9/17/2007,Juice Games,THQ,Auto Racing Sim,Rated T For Teen,7.5,21,PlayStation 3
Juiced: Eliminator,6/28/2006,Juice Games,THQ,Auto Racing,Rated T For Teen,8.3,8,PSP
Juka and the Monophonic Menace,10/24/2006,"Orbital Media, Inc.",SouthPeak Games,Action Adventure,Rated E For Everyone,,,Game Boy Advance
Jump Force,2019-12-02,Spike Chunsoft,Bandai Namco Games,3D Fighting,Rated T For Teen,4.4,323,Xbox One
Jump Force: Deluxe Edition,8/28/2020,Spike Chunsoft,Bandai Namco Games,3D Fighting,Rated T For Teen,7,38,Nintendo Switch
Jumper: Griffin's Story,2008-12-02,Red Tribe,Brash Entertainment,3D Fighting,Rated T For Teen,2.5,13,PlayStation 2
Jumpgate: The Reconstruction Initiative,9/23/2001,NetDevil,3DO,Space Sim,Rated E For Everyone,,,PC
Jumping Joe & Friends,5/25/2018,Vixa Games,QubicGames,2D Platformer,Rated E For Everyone,5.5,13,Nintendo Switch
JumpJet Rex,1/14/2015,TreeFortress Games,TreeFortress Games,2D Platformer,,7,14,PC
JumpStart: Escape From Adventure Island,11/17/2009,Knowledge Adventure Inc.,Knowledge Adventure Inc.,Edutainment,Rated E For Everyone,,,Wii
Jumpster,9/26/2012,G5 Entertainment,G5 Entertainment,2D Platformer,,,,iOS (iPhone)
"Jungle Rumble: Freedom, Happiness and Bananas",2015-10-02,Disco Pixel,Disco Pixel,Rhythm,Rated E For Everyone,6,,iOS (iPhone)
Junk Jack,2011-07-11,Jack,Jack,Sandbox,,6.2,9,iOS (iPhone)
Junk Jack X,8/29/2013,Pixbits SRL,Pixbits SRL,Sandbox,,6.3,8,iOS (iPhone)
Ju-on: The Grudge,10/13/2009,FeelPlus,XSEED Games,Survival,Rated M For Mature,5.2,25,Wii
